question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
Long magnet of magnetic moment M and pole strength m is broken into two at the middle. The magnetic moment and the pole strength of each piece will be:,,Physics,Magnetism,Magnet,1,Medium,"M, m/2",,"M/2, m",,"M/2, m/2",,"M, m",,2
Energy equivalent of 1 gm of U²³⁵ is nearly:,,Physics,Nuclear Physics,Nuclear Energy,1,Hard,3×10¹⁶ J,,3×10²³ J,,9×10¹⁹ J,,9×10¹³ J,,1
The wavelength of the most energetic X-rays emitted when a metal target is bombarded by 40kV supply is:,,Physics,Modern Physics,X-rays,1,Hard,300 Å,,10 Å,,4 Å,,0.31 Å,,4
"A 5.5 ohm electric heater is connected to a 220V, 50Hz mains supply. The peak value of electric current in the heater is about:",,Physics,Electricity,Electric Heater,1,Medium,5.6 A,,6.8 A,,4 A,,4.6 A,,2
The nuclei of isotopes of an element all contain the same number of a certain particle. What is this particle?,,Physics,Atomic Physics,Isotopes,1,Easy,Electron,,Neutron,,Proton,,Nucleon,,3
NAND gate is a combination of:,,Physics,Electronics,Logic Gates,1,Medium,AND gate and NOT gate,,AND gate and OR gate,,NOT gate and OR gate,,NOT gate and NOT gate,,1
Two photons approach each other. Their relative velocity will be:,,Physics,Modern Physics,Photons,1,Medium,2c,,c,,c/2,,0,,2
"According to pulsation theory, the universe relax 7 contract at the time interval of:",,Physics,Astronomy,Universe Theories,1,Hard,80 billion years,,8 million years,,8 trillion years,,"8,000 years",,1
Electrical conductivity of semiconductor of this type increases with increase in temperature:,,Physics,Electronics,Semiconductor,1,Medium,P-type semiconductor,,N-type semiconductor,,Intrinsic semiconductor,,None,,3
Zener diode are used for:,,Physics,Electronics,Diode,1,Easy,Rectification,,Amplification,,Stabilization of voltage,,Detector,,3
"How many proton, electron, and neutron are present in the element ²¹X₄₃?",,Chemistry,Atomic Structure,Atomic Number & Mass,1,Medium,"22, 21, 21",,"21, 21, 22",,"22, 22, 22",,"21, 22, 21",,2
The trivalent metal having equivalent weight 20 forms an oxide. Then find the molecular weight of that oxide.,,Chemistry,Mole Concept,Equivalent Weight,1,Medium,56,,81,,168,,60,,3
"In the given reaction, which one favors the formation of product? 2SO₂ + O₂ ⇌ 2SO₃, ΔH = –ve",,Chemistry,Chemical Equilibrium,Le Chatelier’s Principle,1,Medium,Decrease in pressure,,Increase in pressure,,Increase in concentration of SO₃,,Increase in temperature,,2
For an endothermic reaction:,,Chemistry,Thermodynamics,Enthalpy,1,Medium,ΔH = +ve,,ΔH = –ve,,ΔH = 0,,None,,1
If a ≠ b ≠ c and α = β = γ then in which type of crystal it represents,,Chemistry,Solid State,Crystal System,1,Medium,Cubic,,Orthorhombic,,Monoclinic,,Triclinic,,2
"In the reaction, which one is reduced: Cr₂O₇²⁻ + H⁺ + I⁻ → Cr³⁺ + H₂O + I₂",,Chemistry,Redox Reactions,Reduction,1,Hard,Cr,,H⁺,,O,,I⁻,,1
"In NH₄Cl, which type of bond is present?",,Chemistry,Chemical Bonding,Bond Types,1,Medium,Electrovalent,,Covalent,,Co-ordinate,,All,,4
"200 ml of 0.2N NaOH solution is mixed with 200 ml of 0.1N HCl solution, then the normality of the resulting solution is:",,Chemistry,Solutions,Normality,1,Medium,0.1N,,0.2N,,0.05N,,None,,1
"A compound has high intermolecular attraction, then it has:",,Chemistry,States of Matter,Intermolecular Forces,1,Medium,Low vapor pressure,,Low boiling point,,Low surface tension,,Low viscosity,,1
The rate of reaction doesn’t depend on:,,Chemistry,Chemical Kinetics,Rate of Reaction,1,Medium,Concentration of reactant,,Suitable catalyst,,Temperature,,Concentration of product,,4
The volume occupied by 1.008 mg of Hydrogen at STP is:,,Chemistry,States of Matter,Gas Laws,1,Medium,22.4 cc,,11.2 cc,,22.4 l,,11.2 l,,2
"At constant pressure, the volume of a given mass of gas is:",,Chemistry,States of Matter,Gas Laws,1,Medium,Directly proportional to temperature in Kelvin,,Inversely proportional to temperature in Kelvin,,Independent of temperature,,None,,1
The amount of energy required to deposit 0.2 mole of Ag⁺ is:,,Chemistry,Electrochemistry,Faraday’s Law,1,Hard,3×96500,,2×9650,,2×96500,,96500,,3
Calgon process for purification of water involves:,,Chemistry,Environmental Chemistry,Water Treatment,1,Medium,Ion-exchange,,Formation of soluble complex,,Scum,,Precipitation,,2
The α-scattering experiment of Rutherford proved the presence of:,,Chemistry,Atomic Structure,Rutherford Experiment,1,Easy,Atom,,Proton,,Nucleus,,Neutron,,3
Which one shows Cannizzaro’s reaction?,,Chemistry,Organic Chemistry,Cannizzaro’s Reaction,1,Medium,CH₃CHO,,C₆H₅CHO,,CH₃COCH₃,,CH₃CH₂CHO,,2
In the manufacture of washing soda Na₂CO₃ the compound formed after the treatment of ammoniacal brine solution with CO₂ is:,,Chemistry,Industrial Chemistry,Solvay Process,1,Medium,Na₂CO₃,,NaHCO₃,,(NH₄)₂CO₃,,None,,2
"In diamond, carbon has … hybridization.",,Chemistry,Organic Chemistry,Hybridization,1,Easy,sp²,,sp,,sp³,,sp³d,,3
Nitrogen dioxide cannot be obtained by heating,,Chemistry,Inorganic Chemistry,Nitrogen Compounds,1,Medium,NaNO₃,,LiNO₃,,Pb(NO₃)₂,,Cu(NO₃)₂,,1
H loses electron to form H⁺. In this aspect H behaves as:,,Chemistry,Atomic Structure,Hydrogen,1,Medium,Alkali metal,,Noble gas,,Alkaline earth metal,,Halogens,,1
Acidic flux is used for removal of,,Chemistry,Metallurgy,Fluxes,1,Medium,Basic flux,,Basic gangue,,Acidic gangue,,Slag,,3
Atomic number 27 belong to which block,,Chemistry,Periodic Table,Blocks of Elements,1,Medium,s,,p,,d,,f,,3
"The alkali metals can easily be detected by the flame test, because they have:",,Chemistry,Atomic Structure,Flame Test,1,Medium,Low ionization energy,,Low density,,Low electron affinity,,High conductance,,1
Nitration in benzene is:,,Chemistry,Organic Chemistry,Nitration,1,Easy,Electrophilic substitution,,Nucleophilic substitution,,Displacement reaction,,Electrophilic addition,,1
Bromination of aniline gives:,,Chemistry,Organic Chemistry,Aniline Reactions,1,Medium,m-bromoaniline,,o-bromoaniline,,p-dibromoaniline,,"2,4,6-tribromoaniline",,4
"Nylon-6,6 is the polymer of",,Chemistry,Polymer Chemistry,Nylon,1,Medium,Hexamethylene diamine & Adipic acid,,Formaldehyde + Phenol,,Vinyl chloride,,Ethylene glycol + Adipic acid,,1
Alkene and alkyne can be distinguished from each other by,,Chemistry,Organic Chemistry,Hydrocarbons,1,Medium,Alkaline KMnO₄,,Br₂ in CCl₄,,Ammoniacal cuprous chloride,,Acid KMnO₄,,3
Aspirin is:,,Chemistry,Organic Chemistry,Medicines,1,Easy,Antipyretic,,Antibiotic,,Antiseptic,,All,,1
Homolytic fission leads the formation of:,,Chemistry,Organic Chemistry,Bond Fission,1,Medium,Free radical,,Carbocation,,Free carbocation,,Carbene,,1
The reactivity of alcohol with Lucas reagent follows the order:,,Chemistry,Organic Chemistry,Alcohols,1,Medium,1° > 2° > 3°,,3° > 2° > 1°,,2° > 1° > 3°,,Same,,2
"0.6gm of a compound occupies 224 cm³ of volume at STP. It consists of 6.67% of hydrogen, 40% of carbon and rest of oxygen. What is the molecular formula of the compound?",,Chemistry,Mole Concept,Empirical & Molecular Formula,1,Hard,CH₂O,,C₂H₂O,,CH₂O₂,,C₂H₄O₂,,4
Which of the following represents the correct order of ionic radii?,,Chemistry,Periodic Table,Ionic Radii,1,Medium,Li⁺ < Na⁺ < K⁺ < Rb⁺,,Li⁺ > Na⁺ > K⁺ > Rb⁺,,Li⁺ = Na⁺ = K⁺ = Rb⁺,,Rb⁺ > K⁺ > Na⁺ > Li⁺,,1
The weight of anhydrous sodium carbonate just enough to neutralize 100 ml of 0.1M HCl will be:,,Chemistry,Stoichiometry,Neutralization,1,Medium,0.53 gm,,1.06 gm,,5.03 gm,,10.6 gm,,2
In the electrolysis of water 224 liters of pure hydrogen was liberated at NTP. The weight of oxygen liberated will be:,,Chemistry,Electrochemistry,Electrolysis,1,Medium,320 gm,,160 gm,,32 gm,,16 gm,,2
Sodium is made by electrolysis of molten mixture of about 40% NaCl and 60% CaCl₂ because:,,Chemistry,Electrochemistry,Electrolysis of NaCl,1,Medium,CaCl₂ helps in conduction of electricity,,This mixture has lower melting point than NaCl,,Ca²⁺ can displace Na⁺ from NaCl,,Ca²⁺ can reduce NaCl to Na,,2
No precipitation of metal sulfides takes place if H₂S gas is passed into:,,Chemistry,Qualitative Analysis,H₂S Group Test,1,Medium,Acidified solution of copper sulphate,,Acidified solution of nickel sulphate,,Ammoniacal solution of zinc sulphate,,Acidified solution of cadmium sulphate,,3
The acid rain is caused by:,,Chemistry,Environmental Chemistry,Acid Rain,1,Easy,Sulphuric acid,,Acetic acid,,Nitric acid,,Carbonic acid,,1
The catalyst used in the Ostwald’s process for the manufacture of nitric acid is:,,Chemistry,Industrial Chemistry,Ostwald’s Process,1,Medium,Finely divided iron,,Finely divided nickel,,Manganese dioxide,,Platinum gauge,,4
A green colour is formed in Lassaigne’s test if nitrogen is present in an organic compound. This green colour is due to the formation of:,,Chemistry,Organic Chemistry,Lassaigne’s Test,1,Medium,Na₄[Fe(CN)₆],,Fe₄[Fe(CN)₆],,Fe₄[Fe(CN)₆]₃,,Fe(SCN)₃,,3
Which of the following statements regarding carbocation is not true?,,Chemistry,Organic Chemistry,Carbocation,1,Medium,It is an organic species which has positively charged carbon,,It is very reactive,,It is very stable,,CH₃⁺ is an example of carbocation,,3
The compound which will give only acetaldehyde on ozonolysis is:,,Chemistry,Organic Chemistry,Ozonolysis,1,Medium,1-butene,,2-butene,,Ethane,,Propanone,,2
An effect causing permanent polarity produced in an organic molecule due to the difference in electronegativity of atoms forming a bond is called:,,Chemistry,Organic Chemistry,Inductive Effect,1,Medium,Electromeric effect,,Mesomeric effect,,Inductive effect,,Transmission effect,,3
"When nitrobenzene is reduced under alkaline condition using zinc and NaOH, the final product obtained is:",,Chemistry,Organic Chemistry,Nitro Compounds,1,Medium,Phenyl hydroxyl amine,,Nitrosobenzene,,Aniline,,Hydrazobenzene,,3
Which of the following organic compounds respond to both Iodoform test and Fehling’s test?,,Chemistry,Organic Chemistry,Tests for Compounds,1,Medium,Ethanal,,Propanone,,Ethanol,,Methanol,,1
Which of the following is most reactive?,,Chemistry,Inorganic Chemistry,Phosphorus Allotropes,1,Medium,Red P,,White P,,Violet P,,Black P,,2
A precipitate would be expected when H₂S is passed into:,,Chemistry,Qualitative Analysis,H₂S Group Test,1,Medium,A solution of Zinc sulphate acidified with HCl,,A solution of Cadmium sulphate acidified with HCl,,A solution of Ferrous sulphate acidified with HCl,,A solution of Nickel sulphate acidified with HCl,,2
Which of the following reagent is used to test sulphate ion of the salt?,,Chemistry,Qualitative Analysis,Salt Analysis,1,Medium,Silver nitrate,,Barium chloride,,Mercurous nitrate,,Dilute hydrochloric acid,,2
To which one of the following classes of organic compounds does CH₃–O–C–H belong?,,Chemistry,Organic Chemistry,Aldehydes & Ketones,1,Medium,Acid anhydride,,Aldehyde,,Carboxylic acid,,Ester,,2
Consider the following reaction: CH₃COCH₃ + HCN → CH₃–C–CH₃ (CN and OH attached). What type of mechanism is involved in this reaction?,,Chemistry,Organic Chemistry,Reaction Mechanism,1,Hard,Electrophilic addition,,Electrophilic substitution,,Nucleophilic addition,,Nucleophilic substitution,,3
Which one of the following is the main organic product when BrCH₂COBr is treated with cold water?,,Chemistry,Organic Chemistry,Hydrolysis,1,Medium,HOCH₂COBr,,BrCH₂COOH,,HOCH₂CHO,,HOCH₂COOH,,2
The study of interaction of organism is called:,,Botany,Ecology,Interaction,1,Easy,Taxonomy,,Ecology,,Entomology,,Trophology,,2
The disease influenza is:,,Botany,Health,Diseases,1,Easy,Bacterial,,Fungal,,Algal,,Viral,,4
"In Pteridium, circinate vernation is found in:",,Botany,Botany,Plant Morphology,1,Medium,Rhizome,,Rachis,,Fruit,,Leaf,,4
Which one is not modified root?,,Botany,Botany,Roots,1,Medium,Clinging,,Haustorium,,Rhizome,,Climbing,,3
The scientific name of potato is:,,Botany,Botany,Plant Taxonomy,1,Medium,Solanum tuberosum,,Brassica campestris,,Sativum aestivum,,Triticum aestivum,,1
How many ovules does the ovuliferous scale in pinus contain?,,Botany,Botany,Gymnosperms,1,Medium,2,,4,,6,,8,,2
The antherozoid in Cycas is:,,Botany,Botany,Plant Reproduction,1,Medium,Uniflagellated,,Biflagellated,,Multiflagellated,,Quadriflagellated,,3
Radial vascular bundle is present in:,,Botany,Botany,Plant Anatomy,1,Medium,Stem of monocot,,Stem of dicot,,Root,,Leaf,,3
The segregation ratio in F₂ generation for Mendel Dihybrid cross is:,,Botany,Genetics,Mendelian Genetics,1,Medium,3:1,,01:02:01,,12:03:01,,9:3:3:1,,4
Synapsis occurs in which stage:,,Botany,Genetics,Cell Division,1,Medium,Pachytene,,Zygotene,,Diplotene,,Diakinesis,,1
The turgidity of a cell is maintained by:,,Botany,Botany,Cell Biology,1,Medium,DP,,OP,,TP,,WP,,2
Light energy is converted into chemical energy in:,,Botany,Physiology,Photosynthesis,1,Easy,Respiration,,Photosynthesis,,Both,,None,,2
The site for protein synthesis is:,,Botany,Cell Biology,Protein Synthesis,1,Easy,Mitochondria,,Golgi body,,Ribosome,,ER,,3
Which one is biofertilizer?,,Botany,Botany,Biofertilizer,1,Medium,Nostoc,,Bacilli,,Coccus,,None,,1
Hybrids between ‘red flowered’ and ‘white flowered’ strains were crossed back to the pure ‘red flowered’ strain. The progeny of this cross had:,,Botany,Genetics,Plant Breeding,1,Medium,Red flowers,,White flowers,,1 red flower: 1 white flower,,3 red flowers: 1 white flower,,3
The pollination by wind is called:,,Botany,Botany,Pollination,1,Easy,Hydrophily,,Anemophily,,Entemophily,,Malacophily,,2
Spiral shaped chloroplast is found in:,,Botany,Botany,Algae,1,Medium,Algae,,Ulothrix,,Spirogyra,,Volvox,,3
Drawing of Honey bee towards the flower is an example of:,,Botany,Zoology,Bee Behaviour,1,Medium,Klinotaxis,,Telotaxis,,Menotaxis,,Mnemotaxis,,2
Which one is not found in Agaricus?,,Botany,Mycology,Fungi,1,Medium,Pilus,,Mycelium,,Stipe,,Ascospore,,4
The development of fruit without fertilization is:,,Botany,Botany,Reproduction,1,Medium,Parthenocarpy,,Apomixis,,Pomogeny,,None,,1
Saxicolous lichens are found growing on:,,Botany,Botany,Lichens,1,Medium,Leaves,,Stems,,Stones,,Walls,,3
Nostoc reproduces asexually by the formation of:,,Botany,Botany,Cyanobacteria,1,Medium,Aplanospores,,Akinetes,,Spores,,Zoospores,,2
"In Funaria, the dispersion of spores is assisted by:",,Botany,Botany,Bryophytes,1,Medium,Operculum,,Calyptras,,Peristome,,Annulus,,3
The appearance of hidden characters in some progeny of F₂ proclaims:,,Botany,Genetics,Mendel’s Laws,1,Medium,Law of codominance,,Law of independent assortment,,Law of dominance,,Law of segregation,,4
Genetic character carried to offspring is stored in:,,Botany,Genetics,Genetic Material,1,Easy,DNA,,RNA,,Nucleus,,Cytoplasm,,1
Who first discovered living cell?,,Botany,Cell Biology,Discovery of Cell,1,Easy,Robert Hooke,,Purkinje,,Lamarck,,Leeuwenhoek,,4
Enzymes for anaerobic respiration are located in:,,Botany,Cell Biology,Respiration,1,Medium,Golgi body,,Mitochondria,,Chloroplast,,Cytoplasm,,4
Substance which separates two neighboring animal cells is called:,,Botany,Cell Biology,Cell Structure,1,Medium,Plasma membrane,,Cell wall,,Endoplasmic reticulum,,Golgi bodies,,2
Cork cambium is otherwise called:,,Botany,Botany,Plant Anatomy,1,Medium,Phellogen,,Phellem,,Phelloderm,,Periderm,,1
Percentage of water in typical plant cell is:,,Botany,Botany,Plant Physiology,1,Easy,10%,,20%,,50%,,85%,,4
The net gain of ATP molecule during glycolysis is:,,Botany,Biochemistry,Glycolysis,1,Medium,2,,4,,6,,10,,1
What plant material is best suited for studying mitosis in the laboratory?,,Botany,Genetics,Mitosis,1,Medium,Anther,,Piece of cork,,Root tips,,Shoot tips,,3
The phenomenon in which an allele of one gene suppresses the activity of allele of another gene is known as:,,Botany,Genetics,Gene Interaction,1,Medium,Dominance,,Recessive,,Epistasis,,Suppressions,,3
Pollen tube is formed from:,,Botany,Botany,Reproduction,1,Medium,Pollen wall,,Intine,,Exine,,Callose layer,,2
Selective permeability identifies the process of:,,Botany,Cell Biology,Transport,1,Medium,Imbibitions,,Diffusion,,Osmosis,,Plasmolysis,,3
Pollen grains are nourished by:,,Botany,Botany,Reproduction,1,Medium,Epidermis,,Tapetum,,Endothecium,,Middle layer,,2
Any undesirable change in the environment is known as:,,Botany,Ecology,Pollution,1,Easy,Pollution,,Evolution,,Conservation,,Succession,,1
One of the early succession fast growing trees in the temperate zone is:,,Botany,Ecology,Succession,1,Medium,Alder,,Tea,,Oak,,Sal,,1
Cell secretion for hormone production is done by:,,Botany,Cell Biology,Hormones,1,Medium,Endoplasmic reticulum,,Nucleus,,Mitochondria,,Golgi apparatus,,4
Orientation of organisms towards the water current is:,,Botany,Zoology,Animal Behaviour,1,Medium,Klinotaxis,,Rheotaxis,,Geotaxis,,Chemotaxis,,2
The pre-cell stage life (Eobiont) was formed during the:,,Botany,Zoology,Origin of Life,1,Medium,Chemogeny stage,,Biogeny stage,,Cogenogeny stage,,Biopoiesis,,1
The cavity present in the body of Hydra is called:,,Botany,Zoology,Hydra,1,Medium,Haemocoel,,Coelom,,Blastocoel,,Coelenteron,,4
